dbid,jp_name,en_name
"0","黄金","gold bar"
"1","長剣","long sword"
"2","短剣","dagger"
"3","手斧","hand axe"
"4","棍棒","club"
"5","魔法帽","magic hat"
"6","フェアリーハット","fairy hat"
"7","鎧","breastplate"
"8","法衣","robe"
"9","細工篭手","decorated gloves"
"10","厚篭手","thick gauntlets"
"11","重靴","heavy boots"
"12","合成靴","composite boots"
"13","装飾の指輪","decorative ring"
"14","鑑定の巻物","identify"
"15","神託の巻物","oracle"
"16","テレポートの巻物","teleportation"
"17","インコグニートの巻物","incognito"
"18","鑑定の魔杖","identify"
"19","テレポートの魔杖","teleportation"
"20","テレポートの魔法書","teleportation"
"21","鑑定の魔法書","identify"
"22","解呪の魔法書","uncurse"
"23","本","book"
"24","本","book"
"25","バグの本","bugged book"
"26","汚水","dirty water"
"27","盲目のポーション","blindness"
"28","混乱のポーション","confusion"
"29","麻痺のポーション","paralysis"
"30","睡眠薬","sleeping drug"
"31","クリムエール","crim ale"
"32","アイスボルトの魔法書","ice bolt"
"33","ファイアボルトの魔法書","fire bolt"
"34","ライトニングボルトの魔法書","lightning bolt"
"35","大地の結晶","earth crystal"
"36","魔力の結晶","mana crystal"
"37","太陽の結晶","sun crystal"
"38","金塊","gold bar"
"39","ルビナスの原石","rubynus"
"40","ミカ","mika"
"41","エメラルドの原石","emerald"
"42","ダイヤモンドの原石","diamond"
"43","木片","wood piece"
"44","クズ石","junk stone"
"45","クズ","garbage"
"46","割れたつぼ","broken vase"
"47","洗物","washing"
"48","かがり台","bonfire"
"49","旗","flag"
"50","折れた刃","broken sword"
"51","骨","bone fragment"
"52","骸","skeleton"
"53","石碑","tombstone"
"54","金貨","gold piece"
"55","プラチナ硬貨","platinum coin"
"56","《ディアボロス》","<Diablo>"
"57","《斬鉄剣》","<Zantetsu>"
"58","長弓","long bow"
"59","騎士盾","knight shield"
"60","拳銃","pistol"
"61","矢束","arrow"
"62","弾丸","bullet"
"63","《虚無の大鎌》","<Scythe of Void>"
"64","《モーンブレイド》","<Mournblade>"
"65","軽外套","light cloak"
"66","腰当","girdle"
"67","装飾首輪","decorative amulet"
"68","軽傷治癒のポーション","cure minor wound"
"69","重傷治癒のポーション","cure major wound"
"70","致命傷治癒のポーション","cure critical wound"
"71","体力回復のポーション","healing"
"72","癒し手のポーション","healer"
"73","《ラグナロク》","<Ragnarok>"
"74","癒し手オディナのポーション","healer <Odina>"
"75","白き癒し手エリスのポーション","healer <Eris>"
"76","聖なる癒し手ジュアのポーション","healer <Jure>"
"77","丸椅子","round chair"
"78","普通の本棚","bookshelf"
"79","高級箪笥","luxury drawer"
"80","安物ベッド","boring bed"
"81","ぬいぐるみ","rag doll"
"82","玩具","toy"
"83","モダンテーブル","modern table"
"84","ダイニングテーブル","dining table"
"85","様々な鎧","armor"
"86","たくさんの雑貨","goods"
"87","色とりどりの装飾品","accessories"
"88","グランドピアノ","grand piano"
"89","バーテーブルα","bar table alpha"
"90","バーテーブルβ","bar table beta"
"91","タル","barrel"
"92","お洒落な椅子","modern chair"
"93","つるはし","pick"
"94","ランタン","lantern"
"95","飾り物の鎧","decorative armor"
"96","金床","anvil"
"97","密封されたつぼ","closed pot"
"98","開いているつぼ","open pot"
"99","勉強机","academic table"
"100","ポーションの棚","potions"
"101","四角い椅子","square chair"
"102","安物の椅子","cheap chair"
"103","食器棚","cupboard"
"104","物置","barn"
"105","本たてつきの棚","neat shelf"
"106","収納棚","closet"
"107","いろんな道具","tools"
"108","いろんな雑貨","goods"
"109","井戸","well"
"110","いろんな洋服","clothes"
"111","溶解炉","furnace"
"112","オーブン","oven"
"113","標識","sign"
"114","道標","crossroad sign"
"115","掲示板","board"
"116","ショートテレポートの魔法書","minor teleportation"
"117","空のバスケット","empty basket"
"118","モンスター召喚の魔法書","summon monsters"
"119","軽傷治療の魔杖","cure minor wound"
"120","マジックミサイルの魔杖","magic missile"
"121","サモンモンスターの魔杖","summon monsters"
"122","氷の視線の魔杖","ice bolt"
"123","炎の衝撃の魔杖","fire bolt"
"124","パンの陳列棚","breads"
"125","生命の魔杖","heal"
"126","ビーカー","beaker"
"127","錬金術の道具","alchemy kit"
